2024-06-23 17:26:46 startup packages remove
2024-06-23 17:26:46 status installed openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:26:46 remove openjdk-11-jdk:amd64 11.0.23+9-1 <none>
2024-06-23 17:26:46 status half-configured openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:26:46 status half-installed openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:26:46 status config-files openjdk-11-jdk:amd64 11.0.23+9-1
2024-06-23 17:26:46 status not-installed openjdk-11-jdk:amd64 <none>
2024-06-23 17:26:46 status installed openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 remove openjdk-11-jdk-headless:amd64 11.0.23+9-1 <none>
2024-06-23 17:26:46 status half-configured openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 status half-installed openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 status config-files openjdk-11-jdk-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 status not-installed openjdk-11-jdk-headless:amd64 <none>
2024-06-23 17:26:46 status installed openjdk-11-jre:amd64 11.0.23+9-1
2024-06-23 17:26:46 remove openjdk-11-jre:amd64 11.0.23+9-1 <none>
2024-06-23 17:26:46 status half-configured openjdk-11-jre:amd64 11.0.23+9-1
2024-06-23 17:26:46 status half-installed openjdk-11-jre:amd64 11.0.23+9-1
2024-06-23 17:26:46 status config-files openjdk-11-jre:amd64 11.0.23+9-1
2024-06-23 17:26:46 status not-installed openjdk-11-jre:amd64 <none>
2024-06-23 17:26:46 status installed openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 remove openjdk-11-jre-headless:amd64 11.0.23+9-1 <none>
2024-06-23 17:26:46 status half-configured openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 status half-installed openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 status config-files openjdk-11-jre-headless:amd64 11.0.23+9-1
2024-06-23 17:26:46 startup packages configure
2024-06-23 17:26:53 startup archives unpack
2024-06-23 17:26:53 install libgdk-pixbuf2.0-common:all <none> 2.42.12+dfsg-1
2024-06-23 17:26:53 status half-installed libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1
2024-06-23 17:26:54 status unpacked libgdk-pixbuf2.0-common:all 2.42.12+dfsg-1
2024-06-23 17:26:54 install libdeflate0:amd64 <none> 1.20-1
2024-06-23 17:26:54 status triggers-pending libc-bin:amd64 2.38-13
2024-06-23 17:26:54 status half-installed libdeflate0:amd64 1.20-1
2024-06-23 17:26:54 status unpacked libdeflate0:amd64 1.20-1
2024-06-23 17:26:54 install libjbig0:amd64 <none> 2.1-6.1+b1
2024-06-23 17:26:54 status half-installed libjbig0:amd64 2.1-6.1+b1
2024-06-23 17:26:54 status unpacked libjbig0:amd64 2.1-6.1+b1
2024-06-23 17:26:54 install liblerc4:amd64 <none> 4.0.0+ds-4+b1
2024-06-23 17:26:54 status half-installed liblerc4:amd64 4.0.0+ds-4+b1
2024-06-23 17:26:54 status unpacked liblerc4:amd64 4.0.0+ds-4+b1
2024-06-23 17:26:54 install libsharpyuv0:amd64 <none> 1.4.0-0.1
2024-06-23 17:26:54 status half-installed libsharpyuv0:amd64 1.4.0-0.1
2024-06-23 17:26:54 status unpacked libsharpyuv0:amd64 1.4.0-0.1
2024-06-23 17:26:54 install libwebp7:amd64 <none> 1.4.0-0.1
2024-06-23 17:26:54 status half-installed libwebp7:amd64 1.4.0-0.1
2024-06-23 17:26:54 status unpacked libwebp7:amd64 1.4.0-0.1
2024-06-23 17:26:54 install libtiff6:amd64 <none> 4.5.1+git230720-4
2024-06-23 17:26:54 status half-installed libtiff6:amd64 4.5.1+git230720-4
2024-06-23 17:26:54 status unpacked libtiff6:amd64 4.5.1+git230720-4
2024-06-23 17:26:54 install libgdk-pixbuf-2.0-0:amd64 <none> 2.42.12+dfsg-1
2024-06-23 17:26:54 status half-installed libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:26:54 status unpacked libgdk-pixbuf-2.0-0:amd64 2.42.12+dfsg-1
2024-06-23 17:26:54 install gtk-update-icon-cache:amd64 <none> 3.24.42-1
2024-06-23 17:26:54 status half-installed gtk-update-icon-cache:amd64 3.24.42-1
2024-06-23 17:26:54 status unpacked gtk-update-icon-cache:amd64 3.24.42-1
2024-06-23 17:26:54 install hicolor-icon-theme:all <none> 0.18-1
